책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
챗GPT와 기획·분석·보고,http://www.yes24.com/Product/Goods/118381722,김철수 저,2023-04-14,2023-05-04,y*****e,,내용 평점5점  편집/디자인 평점5점,"챗GPT와 기획.분석.보고 일주일 치 업무를 하루 만에 해치우는 일잘러의 ChatGPT 완벽 활용법김철수 (지은이) 위키북스 2023-04-141장에서 챗GPT만이 아니라 MS빙도 있고, AskUp도 소개합니다. 카톡으로 간단하게 한다길래 채널찾아 추가해봤는데 뭔가 불편합니다. 결국 원조만 제대로 되어있지 나머지들은 오히려 본질을 희석하는 것같습니다. 챗GPT는 재미있... 더보기",9791158394295,5.0
챗GPT와 기획.분석.보고,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=314794654,김철수,2023-04-14,2023-05-04,오렌지,구매,5점,"[마이리뷰] 챗GPT와 기획.분석.보고 챗GPT와 기획.분석.보고 일주일 치 업무를 하루 만에 해치우는 일잘러의 ChatGPT 완벽 활용법김철수 (지은이)   위키북스   2023-04-141장에서 챗GPT만이 아니라 MS빙도 있고, AskUp도 소개합니다.  카톡으로 간단하게 한다길래 채널찾아 추가해봤는데 뭔가 불편합니다. 결국 원조만 제대로 되어있지 나머지들은 오히려 본질을 희석하는 것같습니다. 챗GPT는 재미있는데 (적당한 길이의 대답을 해주는 것이 포인트인듯) 이상하게 빙이나 다른 것들은 뭔가 부족합니다. 희안하죠. 지피티를 쓰면서 구글과 합쳐져서 검색도 하고 대... + 더보기",9791158394295,5.0
챗GPT와 기획.분석.보고,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=314794654,김철수,2023-04-14,2023-05-04,오렌지,구매,5점,"[마이리뷰] 챗GPT와 기획.분석.보고 챗GPT와 기획.분석.보고 일주일 치 업무를 하루 만에 해치우는 일잘러의 ChatGPT 완벽 활용법김철수 (지은이)   위키북스   2023-04-141장에서 챗GPT만이 아니라 MS빙도 있고, AskUp도 소개합니다.  카톡으로 간단하게 한다길래 채널찾아 추가해봤는데 뭔가 불편합니다. 결국 원조만 제대로 되어있지 나머지들은 오히려 본질을 희석하는 것같습니다. 챗GPT는 재미있는데 (적당한 길이의 대답을 해주는 것이 포인트인듯) 이상하게 빙이나 다른 것들은 뭔가 부족합니다. 희안하죠. 지피티를 쓰면서 구글과 합쳐져서 검색도 하고 대... + 더보기",9791158394295,5.0
챗GPT와 업무자동화,https://product.kyobobook.co.kr/detail/S000201248154,김철수,2023-03-21,2023-05-04,mi*******,한달 후 리뷰,4,좋은책 감사합니다.,9791158394288,4.0
AWS 컨테이너 설계와 구축 철저 입문,http://www.yes24.com/Product/Goods/109994580,"아라이 마사야, 우마카츠 아츠시 저/양현 역/사사키 타쿠로 감수",2022-06-15,2023-05-02,t****s,구매,평점5점,깔끔하게 설명 잘 되어 있습니다. 초급자에게 추천,9791158393373,5.0
진짜 챗GPT 활용법,https://product.kyobobook.co.kr/detail/S000201247694,"김준성,유원준,안상준",2023-03-21,2023-05-02,bb********,,3,진짜 챗gpt 활용법,9791158394264,3.0
"[eBook] 스티브 크룩의 사용성 평가, 이렇게 하라!",http://www.yes24.com/Product/Goods/116598994,"스티브 크룩 저 / 이지현, 이춘희 공역",2022-12-28,2023-05-01,w*****2,,내용 평점5점  편집/디자인 평점5점,"이책은 오래전에 사서 봤던 책이다. 10년도 전에 샀었는데.. 책장 정리를 하다가 발견했는데..다시 읽어보아도 이 책에 알찬정보가 많고,지금의 사용성평가, 리서치와 관련된 책이 모두 이 책을 참고했다고 생각되었기에사용성평가에 관심이 많지만 아직 이 책을 못 읽어본 사람이 있다면 추천하고 싶어서 책리뷰 하게 되었다. 사용성평가는 서비스 기획자 또는 디... 더보기",9791158394042,5.0
실전! 스프링 부트와 리액트로 시작하는 모던 웹 애플리케이션 개발,https://product.kyobobook.co.kr/detail/S000201237157,"주하 힌쿨라,최민석",2023-03-16,2023-05-01,sh****,,3,"스프링 부트와 리액트의 기본적인 내용들을 빠르게 학습해 볼 수 있어요.
다만 11장 실습시 CORS 이슈가 발생하는데 그에 대한 언급이 없어서 아쉽네요.",9791158394097,3.0
챗GPT와 업무자동화,https://product.kyobobook.co.kr/detail/S000201248154,김철수,2023-03-21,2023-04-30,bi******,구매자,4,챗gpt로 된 책을 구매해서 한번도전해봐,9791158394288,4.0
챗GPT와 업무자동화,http://www.yes24.com/Product/Goods/117937260,김철수 저,2023-03-21,2023-04-28,k***i,구매,내용 평점3점  편집/디자인 평점3점,NLP(Natural Language Processing)이 본격적으로 AI분야에서 두각을 나타낸 것이 4-5년은 된 것 같다. 자동화(Autonomy)를 지향하고 궁극적으로 사람처럼 의사결정하는 시스템이 공상영화처럼 가능할까? AI를 연구하는 친구가 판례를 학습시키는 것을 본 적이 있다는 말을 들었을 때 그럴싸하다고 생각했다. 다만 AI는 변호사 자격이 없으니 이런 일을 하면 변호사법... 더보기,9791158394288,3.0
파이썬 텍스트 마이닝 완벽 가이드,http://www.yes24.com/Product/Goods/117596408,"박상언, 강주영 저",2023-02-28,2023-04-28,푸***9,구매,평점5점,거대언어모델 포함 텍스트마이닝에 대해 제대로 실습과 함께 공부가 가능합니다.,9791158394226,5.0
챗GPT와 글쓰기,http://www.yes24.com/Product/Goods/117603800,김철수 저,2023-02-28,2023-04-27,원**리,구매,평점5점,요즘 핫하길래 궁금해서 구매했습니다. 재밌었어요,9791158394233,5.0
파이썬 텍스트 마이닝 완벽 가이드,http://www.yes24.com/Product/Goods/117596408,"박상언, 강주영 저",2023-02-28,2023-04-27,원**리,구매,평점5점,파이썬 교재로 훌륭합니다,9791158394226,5.0
세상을 바꿀 미래기술 12가지,http://www.yes24.com/Product/Goods/116446689,한국현 저,2023-01-03,2023-04-27,원**리,구매,평점5점,재밌게 읽었습니다,9791158393786,5.0
모두를 위한 메타러닝,http://www.yes24.com/Product/Goods/114669079,"정창훈, 이승현, 이동민, 장성은, 이승재 저 외 2명",2022-10-25,2023-04-27,원**리,구매,평점5점,도움되는 책!,9791158393670,5.0
NFT 실체와 가치,http://www.yes24.com/Product/Goods/108223571,장세형 저,2022-03-30,2023-04-27,원**리,구매,평점5점,재밌게 읽었습니다.,9791158393212,5.0
손에 잡히는 퀀트 투자 with 파이썬,http://www.yes24.com/Product/Goods/107036607,GIL′s LAB 저,2022-02-22,2023-04-27,원**리,구매,평점5점,쉽게 읽을 수 있어서 좋았어요,9791158393137,5.0
챗GPT와 기획 분석 보고,https://product.kyobobook.co.kr/detail/S000201458960,김철수,2023-04-10,2023-04-25,sw*******,,4,"챗 GPT는 요즘 IT 계통 분야에서 가장 뜨거운 이슈로 많은 이들의 입에 오르내리고 실사용 유저들이 급격히 늘어가고 있는 대화형 인공지능이다. 필자도 이 책을 읽기 전 이미 챗 GPT를 사용해 본 경험이 있다. 이 책을 읽기 전 기대 했던 내용은 챗 GPT를 이용해서 회사 업무에 들이는 시간을 줄이고 효율적으로 업무를 처리해 나가는 방법이다. 이 책의 부제가 &ldquo;사원부터 팀장까지 일잘러의 필수도구&rdquo;인 만큼 그 기대를 저버리지 않길 생각하며 책을 읽어 나갔다.
책의 저자는 벤처 기업의 기획 팀장이자 챗 GPT와 관련된 책을 벌써 2권 저술했으며 데이터와 인공지능의 자연어 처리에 대해 잘 아는 분이란 것을 책을 읽으며 더 느낄 수 있었다. 기획팀에서 일을 하고 있는 본인에게 도움이 될만한 내용이 많이 있어 읽으면서 필요한 부분은 참고하여 실제 업무에 활용하기 좋다고 생각했다.
이 책을 한마디로 요약하자면 기획의 A to Z를 알고 도움을 줄 수 있는 최고의 팀원 챗 GPT에게 팀장이 되어서 사실을 확인하고 이용할 수 있는 부분을 사용할 수 있는 매뉴얼이라고 할 수 있겠다. 책의 구성은 초안을 만들고 챗 GPT의 사용법을 알 수 있으며, 기획&middot;분석&middot;보고의 각 단계에서 챗 GPT에게 명령을 효율적으로 내리고 도출한 결과를 잘 선별하는 방법을 구체적인 사례를 통해 알 수 있게 구성되어 있다.
실질적으로 알게 된 부분으로는 먼저 챗 GPT를 활용한 다른 기타 서비스를 알게 되었다. 마이크로 소프트 사의 검색 엔진을 활용한 Bing은 검색 엔진의 데이를 토대로 신빙성이 있는 대답을 도출해 주었다. 또, 카톡에서도 ASKUP이란 채널을 통해서 인공지능 대화를 통해 여러 원하는 대답을 얻을 수 있다는 사실을 알았다. 챗 GPT가 얼핏 보기엔 전부 정답을 이야기해 주는 듯 하지만 21년 9월까지 나온 데이터를 바탕으로 대화를 한다는 것을 알았고 때로는 제대로 된 정보가 아닌 허구의, 잘못된 정보를 전달해 준다는 것을 알았기 때문에 결과에 대한 사실 검증을 한 번 더 거쳐야 한다는 사실도 알게 되었다.
따라서 본인이 내린 결론은 챗 GPT가 잘하는 분야에 대해 최대한 활용하고 빠르게 얻은 아이디어에서 검색과 정보 수집을 한 번 더 거쳐 사실을 확인하고 사용한다면 상당히 업무 시간을 절약 할 수 있다는 것을 알게 되었다. 신기한 부분 중 하나는 데이터 분석에 관련된 내용이었는데 CSV(comma-separated values) 형태로 데이터를 분석해 달라고 하면 엑셀이나 표를 직접 제시하지 않아도 데이터를 분석해 준다는 것이었다.
이 책은 본인과 같이 기획을 하는 사람뿐만 아니라 직장인이라면 누구나 한 번쯤 읽어보는 것을 추천하고 싶다. 어떤 회사에 가든지 기획을 하거나 보고서를 작성하는 일을 하게 되는데 이 책에는 챗 GPT를 활용하는 법은 물론이고 전반적인 회사의 기본 업무에 대한 기본이 자세하고 논리정연하게 기록되어 있다. 이는 부제처럼 사원부터 팀장까지 모두에게 필요한 부분이라고 생각한다. 직장인이라면 이 책을 읽고 기획과 분석, 보고의 기본을 알고 챗 GPT를 활용하여 업무에 활용하여 귀중한 시간을 절약하고 남는 에너지와 시간을 소중한 사람들과 함께하는 데 사용할 수 있기를 기원한다.",9791158394295,4.0
클라우드 네이티브 쿠버네티스,https://product.kyobobook.co.kr/detail/S000201016717,"알렉산더 라울,김정민,이주현,김상민",2023-02-22,2023-04-25,dt******,구매자,1,설명이 간단하게만 있고 컴포넌트 나열식이라 입문자를 위한 이해용도로는 적합하지 않은 것 같습니다.,9791158393939,1.0
챗GPT와 글쓰기,http://www.yes24.com/Product/Goods/117603800,김철수 저,2023-02-28,2023-04-24,시*,,내용 평점5점  편집/디자인 평점5점,[출처: 챗GPT와 글쓰기 서문] 챗GPT가 뭐야? 챗GPT 창업자도 베팅했다...실리콘밸리서 '뜨거운 관심'-이데일리 고학수 위원장 '챗GPT시대 개인정보위 역할 확대'-조선비즈 챗GPT로 '오픈북'시험 보면 공부 안 해도 만점 받을까?-YTN ...... 오늘 하루만 해도 챗GPT를 다룬 기사들이 여러 개 쏟아질 정도로 챗GPT는 주목받는 주제이다. 많은 곳에서 떠들... 더보기,9791158394233,5.0
궁금한 IT,http://www.yes24.com/Product/Goods/115321082,김상래 저,2022-11-23,2023-04-22,y*****3,구매,평점5점,정말 재미있게 읽었습니다.,9791158393762,5.0
생활코딩! React 리액트 프로그래밍,https://product.kyobobook.co.kr/detail/S000200940449,이고잉,2023-02-22,2023-04-22,by*****,구매자,4,리액트 공부하려고 샀어용,9791158394202,4.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,evil0115,구매,5점,"﻿[서평] 진짜 챗GPT활용법 진짜 챗GPT활용법 / 김준성, 유원준, 안상준 지음최근에 인기있는 주제인 챗GPT 말은 많은데 어떻게 사용해야 할지 엄두가 안나던 차에 진짜 챗GPT 활용법 도서에 목차를 보니 활용방법들을 업무에 이용해 볼 수 있을 듯해서 자세히 살펴봤습니다.목차에 내용에는 블로그 글을 대신써주는 블로거 ChatGPT, 유튜브 동영상을 만들어주는 크리에이터 ChatGPT, 사진을 이용해 글을 써주는 글 작가ChatGPT, ChatGPT를 가정 교사와 면접관으로 고용하기, ChatGPT와 AI ART 로 시작하는 웹 디자인, ChatGPT로 엑셀 ... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,깐도리,구매,5점,"진짜 챗 GPT 활용법 인공지능이 사람의 언어를 처리하는 분야를 일컬어 자연어 처리(Natural language processing,NLP)라고 합니다. 자연어 처리에는 크게 자연어 이해(Natural Language Understanding, NLU) 라고 합니다. 자연어 처리에는 크게 자연어 이해(Natural Language Understanding, NLU)와 자연어 생성(Natural Language Generation, NLG),이 두가지 분야가 있습니다. 여러 가지 보기 중에서 정답을 고르는 문제를 자연어 이해, 텍스트를 인공지능이 스스로 ... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,jinsolpet,구매,5점,"진짜 찐 활용법. 1시간만에 가능하다 “진짜 챗 GPT 활용법” 에 대한 책을 소개하려고 합니다.AI, chat GPT가 많이 언급되지만 사실 안와닿을 때가 많거든요.현실에서는 많이 사용을 안해서?딱히 필요성을 못느껴서? 활용법을 잘 몰라서?등등.타고난 문과생으로 뚝딱거릴때가 많아서 사실 아날로그 적인 것들을 활용할 때가 많아요그래서 책이나 유투브로 설명을 듣자니 벌써 머리가 지끈 거리는 기분 마저 들었습니다.이 책이 제일 좋았던건 활용법이 목차로 구성이 탄탄하게 되있다는 것.엑셀활용법, 블로그 자동화, 유투브 컨텐츠 생성, 빕드제니와, API사용법까지.있었습... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,sunnysunny,구매,5점,"업무가 편해진다. 이 책을 읽어보자 Procrastinator꽤 고급언어?인 이 단어를 나는 중학교 때부터 알게됐다.영어를 정말 못 했음에도 불구하고 저 단어를 잊지 않고 기억하는 것은 그 어린 나이(중학생이면 그 어린 이라는 건 너무 과한가?ㅠ) 단어의 뜻 때문이다.만성적으로 일을 미루는 사람.세상에 나를 나타내는 말이 영어로도 있을 정도인가?나는 환자인가?이러면서 충격에 휩싸였다가,다시 또 위로될 점을 찾았던 것이,단어가 만들어질 정도면 이런 사람이 나뿐만은 아니라는 것이지 않은가? 하는 합리화로 그럼 뭐, 또 좀 괜찮네이렇게 괜찮아하면서 계속 일을 미루는 사람으... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,evil0115,구매,5점,"﻿[서평] 진짜 챗GPT활용법 진짜 챗GPT활용법 / 김준성, 유원준, 안상준 지음최근에 인기있는 주제인 챗GPT 말은 많은데 어떻게 사용해야 할지 엄두가 안나던 차에 진짜 챗GPT 활용법 도서에 목차를 보니 활용방법들을 업무에 이용해 볼 수 있을 듯해서 자세히 살펴봤습니다.목차에 내용에는 블로그 글을 대신써주는 블로거 ChatGPT, 유튜브 동영상을 만들어주는 크리에이터 ChatGPT, 사진을 이용해 글을 써주는 글 작가ChatGPT, ChatGPT를 가정 교사와 면접관으로 고용하기, ChatGPT와 AI ART 로 시작하는 웹 디자인, ChatGPT로 엑셀 ... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,깐도리,구매,5점,"진짜 챗 GPT 활용법 인공지능이 사람의 언어를 처리하는 분야를 일컬어 자연어 처리(Natural language processing,NLP)라고 합니다. 자연어 처리에는 크게 자연어 이해(Natural Language Understanding, NLU) 라고 합니다. 자연어 처리에는 크게 자연어 이해(Natural Language Understanding, NLU)와 자연어 생성(Natural Language Generation, NLG),이 두가지 분야가 있습니다. 여러 가지 보기 중에서 정답을 고르는 문제를 자연어 이해, 텍스트를 인공지능이 스스로 ... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,jinsolpet,구매,5점,"진짜 찐 활용법. 1시간만에 가능하다 “진짜 챗 GPT 활용법” 에 대한 책을 소개하려고 합니다.AI, chat GPT가 많이 언급되지만 사실 안와닿을 때가 많거든요.현실에서는 많이 사용을 안해서?딱히 필요성을 못느껴서? 활용법을 잘 몰라서?등등.타고난 문과생으로 뚝딱거릴때가 많아서 사실 아날로그 적인 것들을 활용할 때가 많아요그래서 책이나 유투브로 설명을 듣자니 벌써 머리가 지끈 거리는 기분 마저 들었습니다.이 책이 제일 좋았던건 활용법이 목차로 구성이 탄탄하게 되있다는 것.엑셀활용법, 블로그 자동화, 유투브 컨텐츠 생성, 빕드제니와, API사용법까지.있었습... + 더보기",9791158394264,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-21,sunnysunny,구매,5점,"업무가 편해진다. 이 책을 읽어보자 Procrastinator꽤 고급언어?인 이 단어를 나는 중학교 때부터 알게됐다.영어를 정말 못 했음에도 불구하고 저 단어를 잊지 않고 기억하는 것은 그 어린 나이(중학생이면 그 어린 이라는 건 너무 과한가?ㅠ) 단어의 뜻 때문이다.만성적으로 일을 미루는 사람.세상에 나를 나타내는 말이 영어로도 있을 정도인가?나는 환자인가?이러면서 충격에 휩싸였다가,다시 또 위로될 점을 찾았던 것이,단어가 만들어질 정도면 이런 사람이 나뿐만은 아니라는 것이지 않은가? 하는 합리화로 그럼 뭐, 또 좀 괜찮네이렇게 괜찮아하면서 계속 일을 미루는 사람으... + 더보기",9791158394264,5.0
그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/108431011,오가사와라 시게타카 저/심효섭 역,2022-04-05,2023-04-20,지*,구매,평점5점,쉬운 설명이 이해하기 쉽습니다.,9791158393038,5.0
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,http://www.yes24.com/Product/Goods/110708504,상냥한주디(김정훈) 저,2022-07-22,2023-04-19,s******1,,내용 평점5점  편집/디자인 평점5점,1년전 상냥한 주디님의 상냥한 강의를 듣고그때부터 미리캔버스를 잘쓰고 있습니다.강의처럼 넘나 쉽고 정성가득한 책을 받아들고너무나 든든해졌어요이 책 한권이면 되더라구요.홍보물 만들다가 막히면 책을 꺼내어 따라해보면 되니까요.내지를 보시면 어찌나 친절하신지~~ 디자이너라 디자인에 혼신을 다하신 것이 느껴집니다.미리캔버스의 모든 것을 집대성한 책... 더보기,9791158393342,5.0
챗GPT와 업무자동화,http://www.yes24.com/Product/Goods/117937260,김철수 저,2023-03-21,2023-04-18,d********2,,평점5점,개발자이지만 그래도 ChatGPT 한테 자동화는 맡기고 싶습니다.. 정말 기대되요!!,9791158394288,5.0
챗GPT와 업무자동화,https://product.kyobobook.co.kr/detail/S000201248154,김철수,2023-03-21,2023-04-18,so******,,4,드뎌 최고의 책을 찾았네요. 제가 찾던 책이네요.,9791158394288,4.0
챗GPT와 업무자동화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313150852,김철수,2023-03-21,2023-04-17,뭐숭이,구매,5점,현재 데이터 분석 업무를 수행하고 있는데최근 회사내에서도 ChatGPT에 대한 관심도가 높아짐에따라 업무에 활용할 좋은 자료로 기대됩니다.,9791158394288,5.0
[eBook] 챗GPT와 글쓰기,http://www.yes24.com/Product/Goods/118318039,김철수 저,2023-04-10,2023-04-16,m********8,구매,평점1점,아직도 ebook을 pdf로 만드는 인간이 있네,9791158394301,1.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-16,altks011,구매,5점,chatgpt를 알고있어도 업무에 어떻게 활용해야할지 가늠이 안잡히는 경우가 많은데 여러 경우에서의 chatgpt 사용법을 알려줘서 유용한 책이라고 생각됩니다 기대돼요,9791158394264,5.0
처음 배우는 C# 프로그래밍,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=240884485,백현우,2020-05-28,2023-04-16,W,구매,3점,"확실히 다른 책보다 개념정리를 쉽게 풀어 쓴 것은 좋으나, 예제를 따라하기에는 뭔가 중구난방으로 되어있어 입문자 입장에서는 오류가 나기 쉽습니다.",9791158392116,3.0
생활코딩! React 리액트 프로그래밍,https://product.kyobobook.co.kr/detail/S000200940449,이고잉,2023-02-22,2023-04-15,yu******,구매자,4,"좋았습니다
설명 잘 되어있어요",9791158394202,4.0
챗GPT와 업무자동화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313150852,김철수,2023-03-21,2023-04-14,0622yeon,구매,5점,ChatGPT는 요즘 관련 분야 전공자들 뿐 아니라 모두가 관심이 많은 주제인데요! 단순 AI 채팅과 정보 크롤링에서 그치지 않고 업무자동화라는 새롭게 적용할 수 있는 분야에 대한 책이라 더 기대가 됩니다!  이번 책으로 ChatGPT를 다양한 분야에 더 활용할 수 있는 방법들을 배워보고 싶어요!,9791158394288,5.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-04-14,go******,,4,누구보다 발빠르게 챗GPT를 활용해서 공부할 수 있다니 정말 좋은 것 같아요. 특히 글쓰기 같은 경우도 가능하다는게 얼마나 신기한지 모르겠어요. 위키북스 IT책 너무 좋아요.,9791158394233,4.0
파이브 라인스 오브 코드,https://product.kyobobook.co.kr/detail/S000200661796,"크리스찬 클라우젠,김성원",2023-01-19,2023-04-14,ch***,한달 후 리뷰,4,굿 코드를 리펙토링 하는데 많은 도움이 될 것 같습니다.,9791158393915,4.0
궁금한 IT,https://product.kyobobook.co.kr/detail/S000200233569,김상래,2022-11-23,2023-04-14,ac******,한달 후 리뷰,4,깊이 있는 내용이 많이 있습니다.,9791158393762,4.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-04-13,yso0716,구매,5점,다양한 챗GPT 활용법이 기대됩니다. 챗GPT를 이용한 블로그 글쓰기 실천 후 후기 남기겠습니다,9791158394264,5.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-04-13,tw*****,,4,"우와 챗GPT 활용법 넘 유용했는데!
챗GPT로 글쓰기에 대한 궁금증이 다 풀릴 것 같아요 
기대됩니다!",9791158394233,4.0
챗GPT와 업무자동화,https://product.kyobobook.co.kr/detail/S000201248154,김철수,2023-03-21,2023-04-12,lj*****,구매자,4,실무에 활용할 수 있어서 좋아요~,9791158394288,4.0
진짜 챗GPT 활용법,https://product.kyobobook.co.kr/detail/S000201247694,"김준성,유원준,안상준",2023-03-21,2023-04-12,lj*****,구매자,4,실무에 활용할 수 있어서 좋아요~,9791158394264,4.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-04-12,lj*****,구매자,4,실무에 활용할 수 있어서 좋아요~,9791158394233,4.0
AWS 구조와 서비스,https://product.kyobobook.co.kr/detail/S000200882352,"우에노 후미아키,코바야시 쿄헤이,오자와 코스케,다카나시 토모유키,양현,김민호",2023-02-15,2023-04-12,lj*****,구매자,4,실무에 활용할 수 있어서 좋아요~,9791158393977,4.0
챗GPT와 업무자동화,http://www.yes24.com/Product/Goods/117937260,김철수 저,2023-03-21,2023-04-11,k****s,,평점5점,자동화에 관심이 많은데 chatgpt는 어떤 결과를 도출할 수 있을지 정말 기대가 큽니다,9791158394288,5.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-04-11,eh******,한달 후 리뷰,4,활용개념서로 제격입니다,9791158394233,4.0
UX/UI 디자인 완벽 가이드: IA와 유저 플로우 편,https://product.kyobobook.co.kr/detail/S000200767168,조성봉,2023-02-09,2023-04-11,wl*****,한달 후 리뷰,3,"목차를 보고 필요한 부분만 찾아서, 반복해서 읽고 있어요",9791158394004,3.0
UX/UI 디자인 완벽 가이드: IA와 유저 플로우 편,https://product.kyobobook.co.kr/detail/S000200767168,조성봉,2023-02-09,2023-04-11,wl*****,구매자,4,"기본기를 다지는 책 정도로 가볍게 접근하시면, 분명 도움되실겁니다",9791158394004,4.0
24단계 실습으로 정복하는 쿠버네티스,http://www.yes24.com/Product/Goods/115187666,이정훈 저,2022-11-10,2023-04-09,K*W,구매,평점5점,좋은 책 감사합니다!!,9791158393717,5.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-04-07,sa******,한달 후 리뷰,4,글 쓰기에 도움이 많이 되고 있어요. ,9791158394233,4.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-04-07,la*******,,4,"챗GPT와 글쓰기는 인공지능이 글쓰기를 어떻게 학습하고 발전하는지에 대해 잘 설명해줍니다. 저자는 챗GPT의 구조와 원리를 자세하게 설명하고, 다양한 장르와 주제에 대해 챗GPT가 어떻게 글을 생성하고 평가하는지를 실제 예시를 통해 보여줍니다. 이 책은 인공지능과 글쓰기에 관심이 있는 사람들에게 매우 유익하고 흥미롭습니다.

이 책을 읽으면서 인공지능이 글쓰기를 어떻게 습득하고 개선하는지에 대해 많은 것을 배웠고, 챗GPT가 어떤 데이터를 활용하고, 어떤 방법으로 학습하고, 어떤 지표로 평가하는지를 알게 되었습니다. 또한 챗GPT가 생성한 다양한 장르와 주제의 글을 보면서 그 성능과 한계를 파악할 수 있었습니다. 챗GPT가 만든 시나 논문, 뉴스나 소설 등은 정말 놀라웠지만 가끔은 비합리적이거나 잘못된 정보를 포함하고 있어서 주의를 요했습니다.

이인공지능과 글쓰기에 관심이 있는 사람들에게 매우 추천합니다. 인공지능이 글쓰기를 어떻게 하는지에 대해 궁금한 사람들은 이 책을 통해 그 과정과 결과를 이해할 수 있을 것이고, 인공지능과 협력하거나 경쟁하면서 글쓰기를 하는 사람들은 이 책을 통해 그 장점과 단점을 파악하고, 자신의 글쓰기 능력을 향상시킬 수 있을 것입니다.",9791158394233,4.0
챗GPT와 업무자동화,https://product.kyobobook.co.kr/detail/S000201248154,김철수,2023-03-21,2023-04-06,am******,,4,챗gpt 요새 인기인데 잘 활용해보고 싶네요. 회사 옆사람이 추천해주었습니다.,9791158394288,4.0
궁금한 IT,https://product.kyobobook.co.kr/detail/S000200233569,김상래,2022-11-23,2023-04-06,kw*****,구매자,4,각 이슈마다 쉅게 설명되어 유용합니다. ,9791158393762,4.0
챗GPT와 업무자동화,http://www.yes24.com/Product/Goods/117937260,김철수 저,2023-03-21,2023-04-05,소*동,구매,내용 평점5점  편집/디자인 평점5점,위키북스에서 이번에 책을 출간하며 스터디1기를 모집했습니다. 카페가 있으니 책에서 실습하다가 궁금한 것이 있으면 질문하시고 같이 스터디 하시는 분들이 있으니 완주하기 좋았습니다. (1기니까 다음 기수도 모집 할것 같습니다) 책을 한권 마치면서... 와... 진짜 안 배우면 손해인걸? 하는 생각이 들었습니다. 인공지능이 무섭기도하고 신기하기도 하고...... 더보기,9791158394288,5.0
파이썬 머신러닝 완벽 가이드,http://www.yes24.com/Product/Goods/108824557,권철민 저,2022-04-21,2023-04-05,책*레,,평점1점,아마존에서는 책 잘써도 그래프 흑백으로 되어 있으면 먼지나게 까이는데.. 착하네 사람들,9791158393229,1.0
