책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
챗GPT와 기획·분석·보고,http://www.yes24.com/Product/Goods/118381722,김철수 저,2023-04-14,2023-10-24,삼*수,,내용 평점5점  편집/디자인 평점5점,"김철수 저자의 <챗GPT와 기획·분석·보고> 도서에서 설명하는 챗GPT를 활용법을 통해 비즈니스 업무의 효율성을 높이고, 보다 정확하게 분석된 데이터와 체계를 습득할 수 있을 것 같습니다. 챗GPT를 개발 외에도 마케팅, 비즈니스 업무에도 유용하게 쓸 수 있을 것 같습니다. 정말 유용한 도서네요. 더보기",9791158394295,5.0
챗GPT와 기획·분석·보고,http://www.yes24.com/Product/Goods/118381722,김철수 저,2023-04-14,2023-10-23,삼*수,,평점5점,"챗GPT를 개발 외에도 마케팅, 비즈니스 업무에도 유용하게 쓸 수 있을 것 같습니다.",9791158394295,5.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-22,g*******6,,평점5점,다양한 영역에서 챗GPT를 어떻게 활용할 수 있는지 배울 수 있는 유용한 책입니다.,9791158394721,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-22,김규리,구매,5점,"다른 출판사것도 사봤는데, 이책만 보고 공부하면 될것 같습니다. 비전공자가 이해할 수 있는 순차적 설명과 깔끔한 정리가 담긴 책입니다. 기출 및 예상문제도 많고 유투브로 저자분이 정리해주신 것도 도움 되었습니다. 이북으로 구매했는데 최고예요.",9791158394059,5.0
"GPT-4, ChatGPT, 라마인덱스, 랭체인을 활용한 인공지능 프로그래밍",https://product.kyobobook.co.kr/detail/S000209182535,"후루카와 히데카즈,트랜스메이트",2023-09-21,2023-10-21,sa*****,구매자,4,재미있게 잘 봤습니다 추천해요,9791158394622,4.0
챗GPT와 글쓰기,http://www.yes24.com/Product/Goods/117603800,김철수 저,2023-02-28,2023-10-20,가**화,구매,내용 평점4점  편집/디자인 평점4점,"김철수 - 챗GPT와 글쓰기 (2023) 위키북스, 248p 챗GPT 활용법중 글쓰기에 대한 내용이다. 저자인 김철수님은 국문과를 졸업하고 실제로 인공지능 대화 서비스 기획에 참여하기도 했다. 이런 글을 쓰기에는 최적으로 보인다. 크게 3부분으로 구성되어 있다. ChatGPT로 글쓰기, AI처럼 글쓰기, AI보다 잘쓰기 다음 챕터가 전 챕터의 업그레이드 같은 느낌이다.... 더보기",9791158394233,4.0
만들면서 배우는 블렌더 캐릭터 모델링 실전 가이드,http://www.yes24.com/Product/Goods/115467705,히노코 저/윤윤 역,2022-11-24,2023-10-20,a*******5,,평점3점,구성은 좋지만 초보자에게는 어려우니 기초를 공부하고 와야한다.,9791158393649,3.0
파이토치 트랜스포머를 활용한 자연어 처리와 컴퓨터비전 심층학습,https://product.kyobobook.co.kr/detail/S000209621433,"윤대희,김동화,송종민,진현두",2023-10-18,2023-10-20,sh********,구매자,4,기대됩니다 책받고 바로보기 시작했음,9791158394400,4.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-19,옴*,구매,내용 평점5점  편집/디자인 평점5점,"저는 아예 비전공자인데도 불구하고, 이 책을 본 뒤에는 그래도 할만하다고 생각이 들었습니다.비전공자가 이해하기 쉬운 구성으로 이루어져있고문제 양이나 기출도 충분하다고 생각합니다.출판사에서 주관하는 카페에 가입하면공부 기간에 맞춰 매일매일 진도가 진행되는자율 스터디도 참여할 수 있습니다.20일간 진행되는 스터디라 꾸준히 하기 좋습니다빠른 피드... 더보기",9791158394059,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-19,전삼이,구매,5점,"20일 진도표가 있어서 차근차근 따라가면 꼭 합격 가능합니다! 오타 이슈도 없고 앱, 온라인스터디, 동영상강의 등 다양한 자료를 제공해줘서 넘 편해요.",9791158394059,5.0
